query,ground_truth
I submitted my warranty claim last week but haven’t heard back. Could you please resend the confirmation to michael.ortega@consumer.org so I can follow up with the retailer?,I submitted my warranty claim last week but haven’t heard back. Could you please resend the confirmation to [EMAIL] so I can follow up with the retailer? -- Company Confidential --
The application status still shows as pending. Please verify and send an update to lisa_santos87@gmail.com by tomorrow.,The application status still shows as pending. Please verify and send an update to [EMAIL] by tomorrow. -- Company Confidential --
"I updated my profile yesterday but the old number is still showing. My correct number is 503-555-7892, and I’d like all appointment reminders sent there.","I updated my profile yesterday but the old number is still showing. My correct number is [PHONE], and i'd like all appointment reminders sent there. -- Company Confidential --"
The voicemail I received asked me to call back at (646) 777-9941. Can you confirm if that’s your support team?,The voicemail I received asked me to call back at [PHONE]. Can you confirm if that's your support team? -- Company Confidential --
"During onboarding, the HR portal flagged my information as incomplete. The SSN field was filled with 289-44-8120 — please check that against what I submitted.","During onboarding, the hr portal flagged my information as incomplete. The ssn field was filled with [SSN] — please check that against what i submitted. -- Company Confidential --"
"My tax documents arrived yesterday, but the identifier listed is wrong. It shows 511-32-9981, which isn’t mine.","My tax documents arrived yesterday, but the identifier listed is wrong. It shows [SSN], which isn’t mine. -- Company Confidential --"
"The travel reimbursement went to my personal card instead of the company card. The charge was made on 4123-8891-2299-5541, which needs to be corrected.","The travel reimbursement went to my personal card instead of the company card. The charge was made on [CARD], which needs to be corrected. -- Company Confidential --"
I was charged twice for the same hotel booking. Both charges came through on 5412-7788-3311-2200.,I was charged twice for the same hotel booking. Both charges came through on [CARD]. -- Company Confidential --
"The facilities ticket should be under Sarah Jenkins, but the system is still showing the old coordinator’s details. Can you update that record before tomorrow’s review?","The facilities ticket should be under [NAME], but the system is still showing the old coordinator’s details. Can you update that record before tomorrow’s review? -- Company Confidential --"
Our internal database shows that Andrew Miller submitted multiple requests for the same issue. Could you confirm which one is valid?,Our internal database shows that [NAME] submitted multiple requests for the same issue. Could you confirm which one is valid? -- Company Confidential --
"Please send the updated invoice to cynthia.brown@clientmail.com. If you need to confirm, call me directly at 212-555-1442 so we don’t delay shipping.","[PII ALERT] Please send the updated invoice to [EMAIL]. If you need to confirm, call me directly at [PHONE] so we don’t delay shipping. -- Company Confidential --"
"I submitted my benefits enrollment yesterday, but I think the wrong SSN was attached: 199-77-3255. Could you please verify and email the corrected form to kevin.lopez@workmail.com?","I submitted my benefits enrollment yesterday, but I think the wrong ssn was attached: [SSN]. Could you please verify and email the corrected form to [EMAIL]? -- Company Confidential --"
Please forward the travel receipts to finance@ourcompany.org. The charges were processed on card 4321-5678-9981-2244.,Please forward the travel receipts to [EMAIL]. The charges were processed on card [CARD]. -- Company Confidential --
"On the payroll slip, please make sure the employee name is Anna Richards. The corrected copy should be delivered to anna_richards@hrmail.com.","On the payroll slip, please make sure the employee name is [NAME]. The corrected copy should be delivered to [EMAIL]. -- Company Confidential --"
"I’ve been trying to update my profile with HR. The phone field still shows my old office number, 303-555-8991, and the SSN section mistakenly lists 655-88-1093.","I’ve been trying to update my profile with hr. The phone field still shows my old office number, [PHONE], and the ssn section mistakenly lists [SSN]. -- Company Confidential --"
Customer support left me a voicemail at 718-555-9921. It mentioned suspicious activity on card 3399-8877-1234-5566.,Customer support left me a voicemail at [PHONE]. It mentioned suspicious activity on card [CARD]. -- Company Confidential --
"The travel desk reached out yesterday and asked for clarification. Please note the reservation should be under Daniel Roberts, and you can call me back at 202-555-1888.","The travel desk reached out yesterday and asked for clarification. Please note the reservation should be under [NAME], and you can call me back at [PHONE]. -- Company Confidential --"
"While reviewing the archive, I found both my SSN, 488-72-3345, and my old card number, 4444-9999-8888-1234, stored in plain text. Can this be scrubbed immediately?","While reviewing the archive, i found both my SSN, [SSN] and my old card number, [CARD], stored in plain text. Can this be scrubbed immediately? -- Company Confidential --"
"In the benefits portal, the form auto-filled my name as Maria Torres and my SSN as 555-22-1111. Could you correct this?","In the benefits portal, the form auto-filled my name as [NAME] and my ssn as [SSN]. Could you correct this? -- Company Confidential --"
"When processing the registration, please make sure it’s billed to Rachel Green. The payment should not have been on card 5678-1234-8765-9900.","When processing the registration, please make sure it’s billed to [NAME]. The payment should not have been on card [CARD]. -- Company Confidential --"
The invoice shows I was billed $345.60 for the monthly subscription. Can you verify that the correct amount was charged and applied to my account?,The invoice shows i was billed usd 345.60 for the monthly subscription. Can you verify that the correct amount was charged and applied to my account? -- company confidential --
